日期,入出境總人數_小計
20190427,175201
20190428,177182
20190429,151813
20190430,159326
20190501,185962
20190502,159939
20190503,164584
20190504,158528
20190505,165820
20190506,148194
20190507,145290
20190508,139251
20190509,141521
20190510,161030
20190511,159476
20190512,168355
20190513,157201
20190514,147138
20190515,160696
20190516,156624
20190517,175402
20190518,167316
20190519,174848
20190520,171104
20190521,152473
20190522,160704
20190523,165226
20190524,171363
20190525,165704
20190526,175612
20190527,161923
20190528,157715
20190529,156582
20190530,152568
20190531,163765
20190601,170864
20190602,164545
20190603,144138
20190604,148420
20190605,151630
20190606,161552
20190607,162905
20190608,163290
20190609,184574
20190610,165477
20190611,152772
20190612,161840
20190613,150777
20190614,181494
20190615,169506
20190616,178004
20190617,173291
20190618,159524
20190619,160099
20190620,167426
20190621,171372
20190622,176402
20190623,175496
20190624,160412
20190625,165731
20190626,158788
20190627,164643
20190628,171187
20190629,182818
20190630,180158
20190701,171532
20190702,162931
20190703,159343
20190704,162285
20190705,173732
20190706,171185
20190707,172506
20190708,175157
20190709,148764
20190710,152851
20190711,172871
20190712,165890
20190713,168986
20190714,177765
20190715,164898
20190716,160726
20190717,158314
20190718,150708
20190719,161770
20190720,173108
20190721,185239
20190722,165270
20190723,156083
20190724,172859
20190725,162923
20190726,173686
20190727,176427
20190728,181600
20190729,168412
20190730,155575
20190731,163815
20190801,159940
20190802,169477
20190803,167490
20190804,179446
20190805,156315
20190806,154877
20190807,163102
20190808,153126
20190809,96343
20190810,194622
20190811,191130
20190812,158974
20190813,153684
20190814,167018
20190815,158702
20190816,177304
20190817,175412
20190818,179501
20190819,171690
20190820,159508
20190821,166462
20190822,159360
20190823,175682
20190824,136137
20190825,196173
20190826,176773
20190827,161412
20190828,160180
20190829,157259
20190830,155460
20190831,154853
20190901,162852
20190902,143011
20190903,132080
20190904,136342
20190905,137142
20190906,155488
20190907,142847
20190908,158108
20190909,126930
20190910,125707
20190911,139319
20190912,148308
20190913,137469
20190914,127510
20190915,172255
20190916,155713
20190917,142799
20190918,134497
20190919,133712
20190920,152643
20190921,148710
20190922,160693
20190923,155465
20190924,140550
20190925,145427
20190926,141231
20190927,156280
20190928,151168
20190929,149489
20190930,105679
20191001,155827
20191002,134876
20191003,133727
20191004,146320
20191005,150833
20191006,163612
20191007,142900
20191008,144606
20191009,164015
20191010,165569
20191011,171662
20191012,142943
20191013,188315
20191014,178644
20191015,158485
20191016,149613
20191017,150986
20191018,168251
20191019,166359
20191020,178612
20191021,161465
20191022,153302
20191023,154890
20191024,154088
20191025,169493
20191026,167579
20191027,168107
20191028,151917
20191029,138725
20191030,137900
20191031,144939
20191101,158070
20191102,147071
20191103,163968
20191104,148573
20191105,147928
20191106,135908
20191107,145538
20191108,161323
20191109,159509
20191110,167594
20191111,154074
20191112,148894
20191113,145231
20191114,153261
20191115,172760
20191116,161776
20191117,174603
20191118,156472
20191119,148214
20191120,148174
20191121,152727
20191122,164025
20191123,158315
20191124,171704
20191125,154940
20191126,141342
20191127,142268
20191128,145412
20191129,159897
20191130,154231
20191201,165606
20191202,144685
20191203,139529
20191204,142410
20191205,141130
20191206,158563
20191207,146314
20191208,162034
20191209,148640
20191210,140709
20191211,136335
20191212,143710
20191213,159510
20191214,153150
20191215,166035
20191216,152193
20191217,144982
20191218,144285
20191219,147801
20191220,168722
20191221,156695
20191222,159206
20191223,146522
20191224,141949
20191225,145564
20191226,149386
20191227,163610
20191228,175302
20191229,158443
20191230,143815
20191231,142714
20200103,143648
20200104,140482
20200105,155516
20200106,135048
20200107,123142
20200108,119263
20200109,130547
20200110,153189
20200111,148066
20200112,154198
20200113,139730
20200114,139206
20200115,147679
20200116,149000
20200117,165611
20200118,167243
20200119,166350
20200120,156488
20200121,169355
20200122,179671
20200123,179106
20200124,155434
20200125,137454
20200126,147520
20200127,156495
20200128,163695
20200129,171394
20200130,147593
20200131,149718
20200202,148611
20200203,128803
20200204,123710
20200205,113917
20200206,104164
20200207,99661
20200208,100503
20200209,105056
20200210,88834
20200211,79472
20200212,71835
20200213,66877
20200214,64618
20200215,64978
20200216,64014
20200217,57101
20200218,52430
20200219,47945
20200220,45721
20200221,45343
20200222,43287
20200223,44414
20200224,39143
20200225,34833
20200226,30987
20200227,28388
20200228,29784
20200229,28707
20200302,24997
20200303,23344
20200304,21133
20200305,19930
20200306,19582
20200307,19026
20200308,21221
20200309,17300
20200310,17372
20200311,15945
20200312,15532
20200313,14994
20200314,16443
20200315,19038
20200316,15099
20200317,14164
20200318,14151
20200319,11448
20200320,10812
20200321,8435
20200322,7309
20200323,5424
20200324,5216
20200325,4438
20200326,4004
20200327,4000
20200328,3230
20200329,2774
20200330,2965
20200331,3171
20200402,2567
20200403,1510
20200404,1064
20200405,1605
20200406,1445
20200407,1388
20200408,1434
20200409,1366
20200410,1485
20200411,1303
20200412,2018
20200413,1474
20200414,722
20200415,1916
20200416,1394
20200417,1232
20200418,1134
20200419,1269
20200420,1766
20200421,945
20200422,1578
20200423,1456
20200424,990
20200425,735
20200426,1442
20200427,982
20200428,525
20200429,1789
20200430,2051
20200502,1612
20200503,1886
20200504,1757
20200505,932
20200506,1795
20200507,921
20200508,1448
20200509,1220
20200510,2051
20200511,1651
20200512,685
20200513,1563
20200514,1317
20200515,2111
20200516,1698
20200517,1867
20200518,1789
20200519,1195
20200520,1934
20200521,1238
20200522,1493
20200523,925
20200524,1578
20200525,1305
20200526,1090
20200527,1694
20200528,1306
20200529,2641
20200530,1372
20200531,2136
20200602,2070
20200603,2159
20200604,1685
20200605,2599
20200606,1526
20200607,2571
20200608,3071
20200609,1480
20200610,2142
20200611,1945
20200612,1734
20200613,1719
20200614,2198
20200615,2065
20200616,1788
20200617,2622
20200618,1059
20200619,2326
20200620,1845
20200621,1800
20200622,2280
